Rk,Tm,Lg,G,W,L,win_pct,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,vRHP,vLHP,vsWinningOpp,vsLosingOpp,Year,top10,made_playoffs,road_win_pct,vsLHP_win_pct,vsWO_win_pct,payroll,payroll_M
1,HOU,AL,162,107,55,0.66,5.7,4,1.7,-0.3,1.4,107-55,0,60-21,47-34,69-44,38-11,35-28,72-27,2019,1,1,0.580246914,0.775510204,0.555555556,158043000,158.043
2,LAD,NL,162,106,56,0.654,5.5,3.8,1.7,0,1.7,107-55,-1,59-22,47-34,76-34,30-22,45-32,61-24,2019,1,1,0.580246914,0.576923077,0.584415584,196279677,196.279677
3,NYY,AL,162,103,59,0.636,5.8,4.6,1.3,-0.3,1,99-63,4,57-24,46-35,70-41,33-18,43-32,60-27,2019,1,1,0.567901235,0.647058824,0.573333333,203897446,203.897446
4,MIN,AL,162,101,61,0.624,5.8,4.7,1.1,-0.5,0.7,97-65,4,46-35,55-26,79-44,22-17,32-37,69-24,2019,1,1,0.679012346,0.564102564,0.463768116,119651933,119.651933
5,ATL,NL,162,97,65,0.599,5.3,4.6,0.7,0.1,0.8,91-71,6,50-31,47-34,74-51,23-14,52-43,45-22,2019,1,1,0.580246914,0.621621622,0.547368421,128247089,128.247089
6,OAK,AL,162,97,65,0.599,5.2,4.2,1,-0.2,0.8,97-65,0,52-29,45-36,62-51,35-14,35-27,62-38,2019,1,0,0.555555556,0.714285714,0.564516129,89135833,89.135833
7,TBR,AL,162,96,66,0.593,4.7,4,0.7,-0.2,0.5,93-69,3,48-33,48-33,64-41,32-25,38-35,58-31,2019,1,0,0.592592593,0.561403509,0.520547945,60084133,60.084133
8,WSN,NL,162,93,69,0.574,5.4,4.5,0.9,0,1,95-67,-2,50-31,43-38,69-52,24-17,48-48,45-21,2019,1,0,0.530864198,0.585365854,0.5,197203691,197.203691
9,CLE,AL,162,93,69,0.574,4.7,4.1,0.7,-0.4,0.2,93-69,0,49-32,44-37,60-47,33-22,25-39,68-30,2019,1,0,0.543209877,0.6,0.390625,119575034,119.575034
10,STL,NL,162,91,71,0.562,4.7,4.1,0.6,0.2,0.8,92-70,-1,50-31,41-40,73-55,18-16,42-42,49-29,2019,1,1,0.50617284,0.529411765,0.5,162620267,162.620267
